Time,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3
"Jan 1, 1981",282.311,282.992,285.301
"Feb 1, 1981",283.183,283.444,284.405
"Mar 1, 1981",286.711,286.498,286.069
"Apr 1, 1981",289.091,288.758,287.867
"May 1, 1981",292.801,292.185,290.689
"Jun 1, 1981",299.39,298,294.656
"Jul 1, 1981",300.095,299.549,297.661
"Aug 1, 1981",299.905,299.437,298.053
"Sep 1, 1981",297.109,297.102,297.072
"Oct 1, 1981",295.541,295.839,296.317
"Nov 1, 1981",287.497,288.552,291.78
"Dec 1, 1981",286.126,286.657,288.555
"Jan 1, 1982",284.493,285.054,286.859
"Feb 1, 1982",282.862,283.25,284.707
"Mar 1, 1982",284.595,284.663,285.17
"Apr 1, 1982",289.41,289.117,288.148
"May 1, 1982",291.755,291.22,289.816
"Jun 1, 1982",297.32,296.24,293.435
"Jul 1, 1982",299.662,298.954,296.971
"Aug 1, 1982",300.131,299.612,298.154
"Sep 1, 1982",297.527,297.553,297.342
"Oct 1, 1982",294.505,294.954,295.903
"Nov 1, 1982",287.958,288.826,291.503
"Dec 1, 1982",284.583,285.395,287.946
"Jan 1, 1983",282.876,283.32,285.184
"Feb 1, 1983",282.718,283.186,284.657
"Mar 1, 1983",284.9,284.753,284.579
"Apr 1, 1983",289.745,289.222,287.917
"May 1, 1983",294.517,293.74,291.6
"Jun 1, 1983",296.813,296.046,294.019
"Jul 1, 1983",300.164,299.311,296.86
"Aug 1, 1983",299.077,298.794,297.852
"Sep 1, 1983",296.32,296.472,296.604
"Oct 1, 1983",291.909,292.519,294.083
"Nov 1, 1983",288.032,288.601,290.585
"Dec 1, 1983",284.893,285.501,287.535
"Jan 1, 1984",284.06,284.505,285.983
"Feb 1, 1984",284.282,284.47,285.307
"Mar 1, 1984",285.886,285.865,285.834
"Apr 1, 1984",288.177,288.015,287.578
"May 1, 1984",294.915,293.874,291.271
"Jun 1, 1984",297.674,296.914,294.871
"Jul 1, 1984",299.208,298.554,296.642
"Aug 1, 1984",298.683,298.302,297.194
"Sep 1, 1984",298.269,298.088,297.412
"Oct 1, 1984",294.18,294.661,295.854
"Nov 1, 1984",288.238,288.912,291.122
"Dec 1, 1984",284.755,285.456,287.751
"Jan 1, 1985",284.783,285.164,286.438
"Feb 1, 1985",283.474,283.918,285.358
"Mar 1, 1985",285.723,285.596,285.414
"Apr 1, 1985",290.051,289.576,288.363
"May 1, 1985",295.355,294.47,292.156
"Jun 1, 1985",299.422,298.402,295.778
"Jul 1, 1985",299.576,298.88,297.124
"Aug 1, 1985",300.399,299.993,298.58
"Sep 1, 1985",296.977,297.181,297.449
"Oct 1, 1985",291.041,291.829,293.998
"Nov 1, 1985",289.271,289.682,291.079
"Dec 1, 1985",285.878,286.477,288.619
"Jan 1, 1986",284.513,284.996,286.612
"Feb 1, 1986",285.236,285.433,286.07
"Mar 1, 1986",286.096,286.101,286.4
"Apr 1, 1986",290.232,289.839,288.764
"May 1, 1986",292.968,292.353,290.808
"Jun 1, 1986",299.591,298.531,295.614
"Jul 1, 1986",301.137,300.262,297.823
"Aug 1, 1986",300.899,300.357,298.843
"Sep 1, 1986",297.597,297.798,298.014
"Oct 1, 1986",292.247,292.719,294.209
"Nov 1, 1986",287.229,288.041,290.609
"Dec 1, 1986",284.296,284.94,287.182
"Jan 1, 1987",284.356,284.693,285.892
"Feb 1, 1987",284.538,284.847,285.709
"Mar 1, 1987",282.989,283.103,283.843
"Apr 1, 1987",287.689,287.55,286.96
"May 1, 1987",291.987,291.215,289.344
"Jun 1, 1987",298.112,296.941,294.078
"Jul 1, 1987",300.562,299.583,296.891
"Aug 1, 1987",300.48,300.085,298.766
"Sep 1, 1987",298.059,297.86,297.403
"Oct 1, 1987",293.022,293.837,295.525
"Nov 1, 1987",288.282,288.914,291.082
"Dec 1, 1987",285.62,286.312,288.627
"Jan 1, 1988",284.57,284.905,286.22
"Feb 1, 1988",283.994,284.379,285.606
"Mar 1, 1988",285.768,285.732,285.792
"Apr 1, 1988",289.372,289.022,288.157
"May 1, 1988",294.835,293.989,291.73
"Jun 1, 1988",300.524,299.222,295.999
"Jul 1, 1988",302.112,301.351,299.112
"Aug 1, 1988",300.651,300.233,299.013
"Sep 1, 1988",298.82,298.907,298.784
"Oct 1, 1988",292.192,292.992,295.24
"Nov 1, 1988",286.696,287.435,289.907
"Dec 1, 1988",284.57,285.274,287.547
"Jan 1, 1989",282.236,282.776,284.611
"Feb 1, 1989",283.345,283.467,284.135
"Mar 1, 1989",286.641,286.538,286.26
"Apr 1, 1989",291.462,290.837,289.187
"May 1, 1989",293.242,292.763,291.443
"Jun 1, 1989",298.184,297.12,294.443
"Jul 1, 1989",300.054,299.379,297.4
"Aug 1, 1989",300.581,300.001,298.303
"Sep 1, 1989",298.555,298.474,298.197
"Oct 1, 1989",291.605,292.331,294.334
"Nov 1, 1989",288.216,288.842,290.777
"Dec 1, 1989",285.472,286.033,288.001
"Jan 1, 1990",282.561,283.162,285.208
"Feb 1, 1990",284.267,284.441,285.149
"Mar 1, 1990",286.536,286.427,286.185
"Apr 1, 1990",290.709,290.186,288.83
"May 1, 1990",294.923,293.929,291.586
"Jun 1, 1990",299.115,298.213,295.712
"Jul 1, 1990",300.887,300.087,297.853
"Aug 1, 1990",299.594,299.288,298.27
"Sep 1, 1990",297.828,297.775,297.458
"Oct 1, 1990",293.706,294.17,295.523
"Nov 1, 1990",290.319,290.92,292.724
"Dec 1, 1990",285.829,286.652,289.289
"Jan 1, 1991",283.481,284.121,286.342
"Feb 1, 1991",283.646,283.865,284.898
"Mar 1, 1991",286.831,286.694,286.479
"Apr 1, 1991",289.232,289.008,288.382
"May 1, 1991",292.991,292.525,291.186
"Jun 1, 1991",299.046,297.749,294.659
"Jul 1, 1991",300.442,299.717,297.556
"Aug 1, 1991",300.178,299.85,298.649
"Sep 1, 1991",297.046,296.943,296.841
"Oct 1, 1991",294.262,294.785,295.832
"Nov 1, 1991",288.19,288.921,291.329
"Dec 1, 1991",282.77,283.646,286.598
"Jan 1, 1992",282.405,282.911,284.567
"Feb 1, 1992",281.629,282.031,283.452
"Mar 1, 1992",284.157,284.07,284.007
"Apr 1, 1992",288.311,287.9,286.862
